stream_id,user_id,song_id,song_name,artist,genre,duration_seconds,country,device,stream_timestamp
1,1465,4,Peaches,Justin Bieber,Pop,165,USA,Tablet,2026-07-03 03:13:00
2,1070,1,Believer,The Weeknd,rock,224,USA,Mobile,2026-07-03 09:01:00
3,1137,5,Levitating,Dua Lipa,rock,153,India,Tablet,2026-07-01 01:13:00
4,1060,10,Shape of You,Justin Bieber,Hip Hop,299,UK,Tablet,2026-07-01 15:21:00
5,1218,5,Levitating,Dua Lipa,Rock,219,Canada,Tablet,2026-07-07 04:22:00
6,1074,9,Believer,Dua Lipa,POP,293,Australia,Desktop,2026-07-07 09:57:00
7,1102,2,Blinding Lights,Imagine Dragons,Hip Hop,250,Canada,Mobile,2026-07-07 05:24:00
8,1012,3,Senorita,Ed Sheeran,,205,USA,Mobile,2026-07-01 14:50:00
9,1111,7,Believer,The Weeknd,Rock,224,Australia,Mobile,2026-07-03 02:42:00
10,1260,6,Senorita,Imagine Dragons,POP,187,UK,Tablet,2026-07-04 22:16:00
11,1385,3,Perfect,Ed Sheeran,Rock,221,Canada,Mobile,2026-07-04 17:47:00
12,1280,8,Believer,Imagine Dragons,Pop,267,UK,Tablet,2026-07-05 02:55:00
13,1176,6,Peaches,Ed Sheeran,rock,260,UK,Tablet,2026-07-04 04:29:00
14,1043,7,Thunder,The Weeknd,Hip Hop,294,UK,Tablet,2026-07-03 03:15:00
15,1154,10,Peaches,Ed Sheeran,Pop,182,Canada,Mobile,2026-07-07 00:44:00
16,1462,2,Thunder,Justin Bieber,,259,USA,Desktop,2026-07-05 12:45:00
17,1181,7,Shape of You,Dua Lipa,,232,UK,Tablet,2026-07-06 09:31:00
18,1294,7,Bad Habits,Dua Lipa,Pop,156,Australia,Tablet,2026-07-01 11:15:00
19,1235,2,Levitating,Ed Sheeran,rock,258,UK,Mobile,2026-07-05 18:56:00
20,1197,5,Perfect,Ed Sheeran,,173,USA,Mobile,2026-07-04 14:21:00
21,1334,3,Believer,The Weeknd,,286,UK,Mobile,2026-07-06 20:33:00
22,1368,5,Senorita,Ed Sheeran,rock,208,USA,Desktop,2026-07-04 13:14:00
23,1264,7,Senorita,Dua Lipa,POP,199,India,Desktop,2026-07-02 10:06:00
24,1368,1,Perfect,Dua Lipa,Rock,198,India,Mobile,2026-07-01 07:00:00
25,1079,2,Believer,Imagine Dragons,POP,154,Australia,Desktop,2026-07-05 11:42:00
26,1017,1,Stay,Justin Bieber,Hip Hop,167,Australia,Tablet,2026-07-04 23:35:00
27,1308,10,Bad Habits,Imagine Dragons,,186,Canada,Mobile,2026-07-02 09:34:00
28,1072,6,Perfect,Dua Lipa,POP,299,USA,Tablet,2026-07-06 21:41:00
29,1456,7,Thunder,Justin Bieber,Hip Hop,263,Canada,Mobile,2026-07-03 17:13:00
30,1086,10,Thunder,The Weeknd,,268,Canada,Desktop,2026-07-06 11:25:00
31,1288,6,Thunder,Ed Sheeran,Hip Hop,269,USA,Desktop,2026-07-04 02:12:00
